"WALTITUD","LONG_DECI","LAT_DECI","titulo"
157,-76.31756,-13.062657,"PAPA BLANCA"
183,-77.200441,-11.507936,"PAPA BLANCA"
96,-77.328161,-11.431781,"PAPA BLANCA"
34,-77.253862,-11.57983,"PAPA BLANCA"
151,-77.722291,-10.713316,"PAPA BLANCA"
219,-77.698266,-10.698117,"PAPA BLANCA"
100,-76.357906,-13.146079,"PAPA BLANCA"
162,-77.195701,-11.529733,"PAPA BLANCA"
133,-77.582026,-11.008894,"PAPA BLANCA"
75,-77.592124,-11.037625,"PAPA BLANCA"
190,-77.692207,-10.680729,"PAPA BLANCA"
151,-77.722291,-10.713316,"PAPA BLANCA"
84,-77.265424,-11.526965,"PAPA BLANCA"
61,-77.273483,-11.541353,"PAPA BLANCA"
242,-77.666449,-10.710428,"PAPA BLANCA"
40,-77.779437,-10.72031,"PAPA BLANCA"
101,-77.27728,-11.480863,"PAPA BLANCA"
301,-78.862487,-8.015295,"PAPA BLANCA"
51,-71.772213,-17.106968,"PAPA BLANCA"
190,-77.692207,-10.680729,"PAPA BLANCA"
157,-77.221553,-11.489565,"PAPA BLANCA"
190,-77.692207,-10.680729,"PAPA BLANCA"
22,-71.81308,-17.144743,"PAPA BLANCA"
242,-77.666449,-10.710428,"PAPA BLANCA"
47,-77.616253,-11.054066,"PAPA BLANCA"
151,-77.722291,-10.713316,"PAPA BLANCA"
67,-77.255382,-11.555443,"PAPA BLANCA"
141,-77.730424,-10.738987,"PAPA BLANCA"
101,-77.27728,-11.480863,"PAPA BLANCA"
342,-77.132249,-11.455845,"PAPA BLANCA"
61,-77.273483,-11.541353,"PAPA BLANCA"
84,-77.265424,-11.526965,"PAPA BLANCA"
151,-77.722291,-10.713316,"PAPA BLANCA"
347,-77.612172,-10.662824,"PAPA BLANCA"
75,-77.592124,-11.037625,"PAPA BLANCA"
109,-77.743947,-10.708896,"PAPA BLANCA"
144,-71.225937,-17.510732,"PAPA BLANCA"
40,-77.779437,-10.72031,"PAPA BLANCA"
109,-77.743947,-10.708896,"PAPA BLANCA"
79,-77.57006,-11.111922,"PAPA BLANCA"
49,-77.184453,-11.640471,"PAPA BLANCA"
83,-78.462211,-9.137157,"PAPA BLANCA"
151,-77.722291,-10.713316,"PAPA BLANCA"
109,-77.743947,-10.708896,"PAPA BLANCA"
109,-77.743947,-10.708896,"PAPA BLANCA"
347,-77.612172,-10.662824,"PAPA BLANCA"
117,-77.190724,-11.568857,"PAPA BLANCA"
151,-77.722291,-10.713316,"PAPA BLANCA"
151,-77.722291,-10.713316,"PAPA BLANCA"
327,-77.625177,-10.683607,"PAPA BLANCA"
238,-76.239264,-13.076684,"PAPA BLANCA"
242,-77.666449,-10.710428,"PAPA BLANCA"
97,-77.575958,-11.040845,"PAPA BLANCA"
85,-77.737049,-10.759695,"PAPA BLANCA"
342,-77.132249,-11.455845,"PAPA BLANCA"
24,-77.79537,-10.721236,"PAPA BLANCA"
85,-77.737049,-10.759695,"PAPA BLANCA"
141,-77.730424,-10.738987,"PAPA BLANCA"
83,-71.791308,-17.108238,"PAPA BLANCA"
83,-77.748235,-10.743145,"PAPA BLANCA"
109,-77.743947,-10.708896,"PAPA BLANCA"
84,-77.265424,-11.526965,"PAPA BLANCA"
51,-71.772213,-17.106968,"PAPA BLANCA"
128,-76.39256,-12.966868,"PAPA BLANCA"
174,-77.216293,-11.526252,"PAPA BLANCA"
40,-77.779437,-10.72031,"PAPA BLANCA"
47,-77.686086,-10.812463,"PAPA BLANCA"
219,-77.698266,-10.698117,"PAPA BLANCA"
80,-77.206076,-11.592267,"PAPA BLANCA"
83,-77.595732,-11.027109,"PAPA BLANCA"
190,-77.692207,-10.680729,"PAPA BLANCA"
116,-77.25691,-11.472886,"PAPA BLANCA"
109,-77.743947,-10.708896,"PAPA BLANCA"
346,-73.193994,-16.108059,"PAPA BLANCA"
52,-77.226366,-11.579432,"PAPA BLANCA"
12,-77.641266,-10.999705,"PAPA BLANCA"
96,-77.328161,-11.431781,"PAPA BLANCA"
42,-71.773772,-17.124436,"PAPA BLANCA"
178,-76.830279,-12.181133,"PAPA BLANCA"
83,-76.420334,-12.996555,"PAPA BLANCA"
40,-77.779437,-10.72031,"PAPA BLANCA"
61,-77.273483,-11.541353,"PAPA BLANCA"
61,-77.273483,-11.541353,"PAPA BLANCA"
40,-77.779437,-10.72031,"PAPA BLANCA"
124,-77.755371,-10.65759,"PAPA BLANCA"
101,-77.27728,-11.480863,"PAPA BLANCA"
101,-77.27728,-11.480863,"PAPA BLANCA"
112,-77.242519,-11.526874,"PAPA BLANCA"
99,-77.574701,-11.080061,"PAPA BLANCA"
162,-77.195701,-11.529733,"PAPA BLANCA"
183,-77.200441,-11.507936,"PAPA BLANCA"
31,-70.496876,-18.216014,"PAPA BLANCA"
211,-77.710424,-10.652846,"PAPA BLANCA"
46,-77.285601,-11.540553,"PAPA BLANCA"
80,-77.584849,-11.087867,"PAPA BLANCA"
49,-77.184453,-11.640471,"PAPA BLANCA"
80,-71.80651,-17.127327,"PAPA BLANCA"
84,-77.265424,-11.526965,"PAPA BLANCA"
55,-77.671661,-10.839002,"PAPA BLANCA"
174,-77.216293,-11.526252,"PAPA BLANCA"
228,-77.684224,-10.686609,"PAPA BLANCA"
190,-77.692207,-10.680729,"PAPA BLANCA"
190,-77.692207,-10.680729,"PAPA BLANCA"
190,-77.692207,-10.680729,"PAPA BLANCA"
109,-77.743947,-10.708896,"PAPA BLANCA"
109,-77.743947,-10.708896,"PAPA BLANCA"
74,-76.346099,-13.128437,"PAPA BLANCA"
151,-77.722291,-10.713316,"PAPA BLANCA"
151,-77.722291,-10.713316,"PAPA BLANCA"
49,-77.184453,-11.640471,"PAPA BLANCA"
151,-77.722291,-10.713316,"PAPA BLANCA"
151,-77.722291,-10.713316,"PAPA BLANCA"
151,-77.722291,-10.713316,"PAPA BLANCA"
52,-77.226366,-11.579432,"PAPA BLANCA"
149,-77.206405,-11.548747,"PAPA BLANCA"
130,-76.36206,-12.995851,"PAPA BLANCA"
141,-77.730424,-10.738987,"PAPA BLANCA"
141,-77.730424,-10.738987,"PAPA BLANCA"
83,-77.748235,-10.743145,"PAPA BLANCA"
30,-77.341754,-11.462634,"PAPA BLANCA"
59,-77.776814,-10.739623,"PAPA BLANCA"
67,-77.255382,-11.555443,"PAPA BLANCA"
315,-77.44688,-11.08753,"PAPA BLANCA"
51,-71.772213,-17.106968,"PAPA BLANCA"
51,-71.772213,-17.106968,"PAPA BLANCA"
398,-76.941724,-12.151325,"PAPA BLANCA"
90,-71.741135,-17.074228,"PAPA BLANCA"
87,-77.573769,-11.073862,"PAPA BLANCA"
151,-77.184279,-11.546459,"PAPA BLANCA"
162,-77.195701,-11.529733,"PAPA BLANCA"
183,-77.200441,-11.507936,"PAPA BLANCA"
134,-80.050925,-5.111188,"PAPA BLANCA"
228,-77.684224,-10.686609,"PAPA BLANCA"
219,-77.698266,-10.698117,"PAPA BLANCA"
190,-77.692207,-10.680729,"PAPA BLANCA"
149,-71.10498,-17.614355,"PAPA BLANCA"
347,-77.612172,-10.662824,"PAPA BLANCA"
242,-77.666449,-10.710428,"PAPA BLANCA"
42,-71.773772,-17.124436,"PAPA BLANCA"
151,-77.722291,-10.713316,"PAPA BLANCA"
211,-77.710424,-10.652846,"PAPA BLANCA"
91,-76.40265,-12.997399,"PAPA BLANCA"
84,-77.265424,-11.526965,"PAPA BLANCA"
84,-77.265424,-11.526965,"PAPA BLANCA"
157,-77.221553,-11.489565,"PAPA BLANCA"
76,-77.581568,-11.073627,"PAPA BLANCA"
235,-76.910607,-12.177416,"PAPA BLANCA"
162,-77.195701,-11.529733,"PAPA BLANCA"
24,-77.79537,-10.721236,"PAPA BLANCA"
162,-77.195701,-11.529733,"PAPA BLANCA"
190,-77.692207,-10.680729,"PAPA BLANCA"
151,-77.722291,-10.713316,"PAPA BLANCA"
58,-77.669231,-10.817425,"PAPA BLANCA"
51,-76.438315,-12.97807,"PAPA BLANCA"
36,-77.702687,-10.808372,"PAPA BLANCA"
24,-77.305361,-11.504871,"PAPA BLANCA"
46,-77.285601,-11.540553,"PAPA BLANCA"
398,-76.941724,-12.151325,"PAPA BLANCA"
271,-77.142197,-11.513794,"PAPA BLANCA"
154,-77.221336,-11.510008,"PAPA BLANCA"
52,-77.226366,-11.579432,"PAPA BLANCA"
219,-77.698266,-10.698117,"PAPA BLANCA"
190,-77.692207,-10.680729,"PAPA BLANCA"
109,-77.743947,-10.708896,"PAPA BLANCA"
74,-76.414428,-13.013113,"PAPA BLANCA"
151,-77.722291,-10.713316,"PAPA BLANCA"
151,-77.722291,-10.713316,"PAPA BLANCA"
28,-71.790829,-17.132803,"PAPA BLANCA"
105,-71.359489,-17.439424,"PAPA BLANCA"
85,-77.737049,-10.759695,"PAPA BLANCA"
85,-77.737049,-10.759695,"PAPA BLANCA"
141,-77.730424,-10.738987,"PAPA BLANCA"
141,-77.730424,-10.738987,"PAPA BLANCA"
98,-77.754588,-10.724973,"PAPA BLANCA"
51,-76.438315,-12.97807,"PAPA BLANCA"
36,-77.702687,-10.808372,"PAPA BLANCA"
46,-77.285601,-11.540553,"PAPA BLANCA"
126,-76.325736,-13.070501,"PAPA BLANCA"
154,-77.221336,-11.510008,"PAPA BLANCA"
174,-77.216293,-11.526252,"PAPA BLANCA"
40,-77.779437,-10.72031,"PAPA BLANCA"
65,-76.893481,-12.227625,"PAPA BLANCA"
80,-77.206076,-11.592267,"PAPA BLANCA"
80,-77.206076,-11.592267,"PAPA BLANCA"
59,-77.776814,-10.739623,"PAPA BLANCA"
166,-77.712599,-10.739526,"PAPA BLANCA"
50,-76.379481,-13.14279,"PAPA BLANCA"
100,-76.357906,-13.146079,"PAPA BLANCA"
42,-71.773772,-17.124436,"PAPA BLANCA"
50,-76.44241,-13.026186,"PAPA BLANCA"
301,-75.212242,-14.555746,"PAPA BLANCA"
171,-76.319455,-12.84839,"PAPA BLANCA"
49,-77.753957,-10.762026,"PAPA BLANCA"
147,-71.741519,-16.945724,"PAPA BLANCA"
46,-77.285601,-11.540553,"PAPA BLANCA"
46,-77.285601,-11.540553,"PAPA BLANCA"
120,-76.369889,-12.981886,"PAPA BLANCA"
467,-76.855533,-12.003333,"PAPA BLANCA"
128,-76.39256,-12.966868,"PAPA BLANCA"
39,-77.805564,-10.701131,"PAPA BLANCA"
339,-70.319284,-18.080064,"PAPA BLANCA"
442,-77.318386,-11.124206,"PAPA BLANCA"
40,-77.779437,-10.72031,"PAPA BLANCA"
162,-77.195701,-11.529733,"PAPA BLANCA"
376,-73.170913,-16.007841,"PAPA BLANCA"
18,-77.620025,-11.087979,"PAPA BLANCA"
430,-73.189936,-15.959473,"PAPA BLANCA"
115,-73.46803,-4.067257,"PAPA BLANCA"
64,-71.758091,-17.102652,"PAPA BLANCA"
128,-76.39256,-12.966868,"PAPA BLANCA"
439,-77.317034,-11.003374,"PAPA BLANCA"
342,-77.400334,-11.092542,"PAPA BLANCA"
154,-77.221336,-11.510008,"PAPA BLANCA"
154,-77.221336,-11.510008,"PAPA BLANCA"
174,-77.216293,-11.526252,"PAPA BLANCA"
383,-73.154818,-15.998975,"PAPA BLANCA"
151,-77.722291,-10.713316,"PAPA BLANCA"
151,-77.722291,-10.713316,"PAPA BLANCA"
166,-77.712599,-10.739526,"PAPA BLANCA"
40,-77.625176,-11.069297,"PAPA BLANCA"
40,-77.625176,-11.069297,"PAPA BLANCA"
112,-76.375035,-13.00188,"PAPA BLANCA"
85,-77.737049,-10.759695,"PAPA BLANCA"
141,-77.730424,-10.738987,"PAPA BLANCA"
98,-77.754588,-10.724973,"PAPA BLANCA"
39,-71.785769,-17.117886,"PAPA BLANCA"
47,-77.292365,-11.494389,"PAPA BLANCA"
77,-76.642713,-12.624866,"PAPA BLANCA"
147,-71.741519,-16.945724,"PAPA BLANCA"
147,-71.741519,-16.945724,"PAPA BLANCA"
61,-77.273483,-11.541353,"PAPA BLANCA"
51,-71.772213,-17.106968,"PAPA BLANCA"
398,-76.941724,-12.151325,"PAPA BLANCA"
70,-76.352983,-13.076215,"PAPA BLANCA"
134,-78.867853,-8.149018,"PAPA BLANCA"
90,-71.741135,-17.074228,"PAPA BLANCA"
