"WALTITUD","LONG_DECI","LAT_DECI","titulo"
2355,-78.688821,-7.170494,"PAPA BLANCA"
2136,-75.835139,-9.772329,"PAPA BLANCA"
2354,-76.251189,-9.822054,"PAPA BLANCA"
2297,-78.773021,-6.649798,"PAPA BLANCA"
2449,-77.891758,-6.482742,"PAPA BLANCA"
2084,-79.427087,-5.251467,"PAPA BLANCA"
2214,-79.546189,-5.67181,"PAPA BLANCA"
2398,-78.697348,-6.411284,"PAPA BLANCA"
2470,-77.748433,-9.134404,"PAPA BLANCA"
2465,-78.057251,-6.809211,"PAPA BLANCA"
2465,-78.937654,-6.732918,"PAPA BLANCA"
2495,-74.515496,-12.152361,"PAPA BLANCA"
2184,-78.115714,-7.616626,"PAPA BLANCA"
2230,-78.793003,-6.542457,"PAPA BLANCA"
2230,-78.793003,-6.542457,"PAPA BLANCA"
2411,-74.301813,-13.032865,"PAPA BLANCA"
2288,-79.586495,-5.181918,"PAPA BLANCA"
2180,-79.478029,-5.38626,"PAPA BLANCA"
2387,-78.805719,-6.546735,"PAPA BLANCA"
2478,-78.795921,-6.465167,"PAPA BLANCA"
2214,-78.532381,-7.303757,"PAPA BLANCA"
2275,-74.79069,-11.754939,"PAPA BLANCA"
2367,-78.8897,-6.679661,"PAPA BLANCA"
2348,-78.920827,-6.755829,"PAPA BLANCA"
2399,-78.895112,-6.350625,"PAPA BLANCA"
2427,-79.294678,-6.346527,"PAPA BLANCA"
2287,-78.743553,-6.361524,"PAPA BLANCA"
2478,-78.795921,-6.465167,"PAPA BLANCA"
2465,-78.057251,-6.809211,"PAPA BLANCA"
2110,-79.300016,-6.295723,"PAPA BLANCA"
2464,-78.648195,-6.454205,"PAPA BLANCA"
2465,-78.057251,-6.809211,"PAPA BLANCA"
2453,-71.583994,-16.281435,"PAPA BLANCA"
2388,-78.873084,-6.425972,"PAPA BLANCA"
2230,-78.950886,-6.406666,"PAPA BLANCA"
2464,-78.648195,-6.454205,"PAPA BLANCA"
2448,-78.088166,-7.594819,"PAPA BLANCA"
2064,-78.834468,-6.47664,"PAPA BLANCA"
2267,-79.4794,-5.643253,"PAPA BLANCA"
2230,-78.950886,-6.406666,"PAPA BLANCA"
2371,-79.444124,-5.207788,"PAPA BLANCA"
2427,-79.294678,-6.346527,"PAPA BLANCA"
2436,-78.02337,-7.47289,"PAPA BLANCA"
2142,-78.906754,-6.672978,"PAPA BLANCA"
2478,-78.795921,-6.465167,"PAPA BLANCA"
2452,-71.539654,-16.360732,"PAPA BLANCA"
2183,-77.455617,-10.141373,"PAPA BLANCA"
2120,-79.348876,-5.600097,"PAPA BLANCA"
2273,-78.304248,-6.761128,"PAPA BLANCA"
2465,-78.812573,-6.661482,"PAPA BLANCA"
2465,-78.057251,-6.809211,"PAPA BLANCA"
2351,-77.947341,-6.920313,"PAPA BLANCA"
2122,-79.453493,-5.22068,"PAPA BLANCA"
2465,-78.057251,-6.809211,"PAPA BLANCA"
2478,-78.795921,-6.465167,"PAPA BLANCA"
2351,-78.476879,-7.608007,"PAPA BLANCA"
2045,-77.702172,-9.949039,"PAPA BLANCA"
2269,-79.714839,-4.988,"PAPA BLANCA"
2493,-79.724182,-5.026164,"PAPA BLANCA"
2351,-77.947341,-6.920313,"PAPA BLANCA"
2309,-77.941119,-5.811538,"PAPA BLANCA"
2179,-76.097647,-9.843574,"PAPA BLANCA"
2230,-78.793003,-6.542457,"PAPA BLANCA"
2230,-78.793003,-6.542457,"PAPA BLANCA"
2088,-78.791681,-6.590156,"PAPA BLANCA"
2143,-78.79479,-6.612964,"PAPA BLANCA"
2314,-78.960084,-6.387664,"PAPA BLANCA"
2298,-78.78113,-6.66317,"PAPA BLANCA"
2285,-78.122129,-7.531551,"PAPA BLANCA"
2135,-79.37979,-6.258208,"PAPA BLANCA"
2478,-78.795921,-6.465167,"PAPA BLANCA"
2465,-78.057251,-6.809211,"PAPA BLANCA"
