ID;Cultivar;Scale;Resistance;Country
1;Tomasa;9;s;Peru
2;Canchan;8;s;Peru
3;Chaska;8;s;Peru
4;Diacol capiro;8;s;Peru
5;Yungay;8;s;Peru
6;Liberteña;7;s;Peru
7;Perricholi;7;s;Peru
8;Amarilis;7;s;Peru
9;Única-Perú;6;s;Peru
10;Venturana;0;r;Peru
11;Serranita;0;r;Peru
12;Chucmarina;0;r;Peru
13;Poderosa;0;r;Peru
14;Oqe Choqllo;1;r;Peru
15;Puka Imilla;1;r;Peru
16;Yana Cambru;1;r;Peru
17;Yuraq Choqllo;2;r;Peru
18; Mullu Winku;2;r;Peru
19; Siwayllus;2;r;Peru
20; Chungolonga;2;r;Peru
21;Kamarita Papa;3;mr;Peru
22;Chaucha Cunvicana;3;mr;Peru
23;Kashpa Ploma;3;mr;Peru
24; Pampina;3;mr;Peru
25; Wira Pasña;3;mr;Peru
26; Tarmeña;3;mr;Peru
27;Pastusa Suprema;3;mr;Ecuador
28;INIAP-Estela;4;mr;Ecuador
29;Única-Ecuador;4;mr;Ecuador
30;INIAP-Natividad;4;mr;Ecuador
31;Nova;4;mr;Ecuador
32;INIAP-Fripapa;5;mr;Ecuador
33;Carolina;5;mr;Ecuador
34;Betina;5;mr;Ecuador
35;Roja Nariño;6;s;Ecuador
36;Superchola;6;s;Ecuador
37;INIAP-Gabriela;8;s;Ecuador
38;Cecilia;8;s;Ecuador
39;I-Puka Shungo ;1;r;Ecuador
40;Libertad ;1;r;Ecuador
41;Pastusa Suprema;2;r;Ecuador
42;Carolina ;2;r;Ecuador
43;I-Victoria;2;r;Ecuador
44;I-Estela;3;mr;Ecuador
45;Nova CC;3;mr;Ecuador
46;I-Fripapa ;3;mr;Ecuador
47;I-Raymipapa;3;mr;Ecuador
48;Única;4;mr;Ecuador
49;I-Natividad ;4;mr;Ecuador
50;I-Catalina ;4;mr;Ecuador
51;Chaucha Roja;4;mr;Ecuador
52;Betina;5;mr;Ecuador
53;Superchola ;5;mr;Ecuador
54;I-Yana Shungo ;5;mr;Ecuador
55;Wantiva ;5;mr;Ecuador
56;Roja Nariño;6;s;Ecuador
57;Jubaleña;6;s;Ecuador
58;I-Gabriela;7;s;Ecuador
59;I-Lila Shungo;7;s;Ecuador
60;Calvache;7;s;Ecuador
61;I-Cecilia;8;s;Ecuador
62;Puña Negra;8;s;Ecuador
63;Leona Negra;8;s;Ecuador
64;Chiwila Negra;8;s;Ecuador
65;Diacol-Capiro;8;s;Ecuador
66;Uvilla;9;s;Ecuador
67;Tushpa;9;s;Ecuador
68;Coneja Negra;10;s;Ecuador
